Title,Short Description,Full Misinformation Claim,Fact-Checked Truth,Category,Category Description
COVID-19 Vaccines Make You Magnetic,False claim about vaccine ingredients,Vaccines contain metals that make arms magnetic,No magnetic ingredients; debunked by WHO,Medical Hoax,False vaccine science
Hot Lemon Water Cures COVID,Viral home remedy myth,Drinking hot lemon water kills the virus in throat,No cure exists; symptom relief only,Fake Cures,Unproven treatments
5G Spreads COVID-19,Tech conspiracy theory,5G networks activate the virus in lungs,No link between 5G and viruses,Conspiracy,Baseless tech claims
Black Fungus from Masks,False link between masks and infection,Wearing masks causes deadly black fungus,Mucormycosis is caused by diabetes/steroids,Medical Misinfo,False health risks
Oxygen Cylinders Spread COVID,False hospital rumor,Oxygen therapy spreads the virus,Oxygen is safe; virus spreads via droplets,Medical Hoax,False fear-mongering
Patan Hospital Burns Bodies Secretly,Fake institutional claim,Hospital burns COVID bodies at night to hide deaths,Death reporting was transparent,Fake News,Institutional distrust
Nepal Army Poisons Vaccines,Anti-government conspiracy,Army adds poison to vaccines to control population,Vaccines are WHO-approved and safe,Conspiracy,Anti-authority narratives
Cow Urine Kills COVID,Dangerous traditional 'cure',Drinking cow urine boosts immunity against COVID,No evidence; risks kidney damage,Fake Cures,Unsafe remedies
Vaccines Kill Children,False pediatric claim,12 Nepali children died post-vaccination,No verified deaths linked to vaccines,Medical Hoax,Vaccine fear-mongering
WHO Opposes Lockdowns,Misrepresented WHO stance,WHO says lockdowns don’t work,WHO supports targeted lockdowns,Misquoted Experts,False authority claims
Garlic Prevents Infection,Oversimplified health advice,Eating raw garlic blocks virus entry,No food prevents COVID-19,Fake Prevention,False dietary claims
Salt Lamps Kill COVID,Misleading product claim,Himalayan salt lamps purify air of virus,No evidence; commercial scam,Fake Products,Exploitative marketing
Vaccines Cause Infertility,False reproductive claim,COVID vaccines attack ovaries causing sterility,No impact on fertility,Medical Hoax,Gender-targeted misinformation
COVID is Just Flu,Pandemic minimization,COVID-19 is no worse than seasonal flu,COVID has higher mortality/complications,Downplaying Pandemic,False comparisons
Chloroquine Cures COVID,Unproven drug promotion,Taking chloroquine pills treats infection,No proven cure; risky self-medication,Fake Cures,Dangerous self-treatment
Kathmandu Immune to COVID,False geographic claim,High altitude protects Kathmandu from virus,Virus spreads globally regardless of elevation,Geographic Misinfo,False immunity theories
Vaccines Contain Pork,Religious misinformation,Vaccines use haram pork gelatin,No pork-derived ingredients,Religious Misinfo,Faith-based fears
COVID Only Affects Elderly,False demographic claim,Under-60s are immune to severe COVID,All age groups are vulnerable,Demographic Misinfo,Age-related misinformation
Mosquitoes Spread COVID,False vector claim,Virus transmits via mosquito bites,Respiratory spread only,Transmission Misinfo,False insect vectors
Colloidal Silver Cures,Dangerous alternative 'cure',Silver solution kills virus in 72 hours,No evidence; causes argyria,Fake Cures,Toxic remedies
Vaccines Alter DNA,Genetic misinformation,mRNA vaccines change human DNA,mRNA doesn't interact with DNA,Medical Hoax,False vaccine science
Patan Overcounts Deaths,Institutional distrust,Hospital marks all deaths as COVID for funds,Audits confirm accurate reporting,Fake News,False institutional claims
Vitamin D Prevents COVID,Oversimplified health advice,High-dose Vitamin D grants immunity,Supports immunity but doesn't prevent infection,Fake Prevention,Overstated supplement benefits
Lockdowns Are UN Plot,Geopolitical conspiracy,UN imposed lockdowns to control Nepal,National decision based on epidemiology,Conspiracy,Global governance fears
PCR Tests Spread COVID,False medical claim,Nasal swabs implant virus in brain,Tests are sterile and safe,Medical Misinfo,False test dangers
Herbal Steam Inhalers Cure,Commercial misinformation,XYZ brand inhaler kills 99.9% of virus,No device kills virus in airways,Fake Products,Exploitative marketing
COVID Deaths Are Flu,Pandemic minimization,All COVID deaths are relabeled flu cases,Excess mortality data proves uniqueness,Downplaying Pandemic,False mortality claims
Vaccines Use Fetal Tissue,Religious/ethical misinformation,Made using aborted fetal cells,"Use lab-grown cell lines, not fetal tissue",Religious Misinfo,False ethical concerns
Pashupatinath Water Immune,Religious misinformation,Holy water grants COVID immunity,No scientific basis,Religious Misinfo,Dangerous faith claims
COVID Only Affects Smokers,Demographic misinformation,Only smokers get severe COVID,All groups vulnerable,Medical Misinfo,False risk factors
WHO Changed PCR Thresholds,Testing conspiracy,WHO altered cycles to hide false positives,Testing standards remain consistent,Testing Misinfo,False protocol claims
Vaccinated People Shed Virus,Vaccine misinformation,Vaccinees spread virus via 'shedding',mRNA vaccines do not cause viral shedding,Vaccine Misinfo,False transmission
COVID doesn't exist in Heat,Climate misinformation,Virus dies above 25°C; Nepal's heat prevents spread,Spreads in all climates,Climate Misinfo,False weather dependence
Patan Hospital Fake Deaths,Institutional conspiracy,Hospital fakes COVID deaths for WHO funds,No evidence of fraud,Fake News,Institutional distrust
Silver Nanoparticles Cure,Pseudoscientific claim,Silver nanoparticles destroy virus in blood,No approved nano-treatment for COVID,Fake Cures,Unproven tech
COVID is US Bioweapon,Geopolitical conspiracy,US Army created virus to target China,Natural zoonotic origin confirmed,Conspiracy,Anti-US narratives
Vaccines Cause Autism,Revived anti-vaxx myth,COVID vaccines linked to autism in kids,No connection; debunked for decades,Medical Hoax,Anti-vaccination rhetoric
WHO Faked Pandemic,Global health conspiracy,WHO created pandemic to impose vaccines,Independent scientists confirm pandemic,Conspiracy,Anti-WHO narratives
COVID Tests Implant Microchips,Surveillance conspiracy,PCR tests insert tracking microchips,No electronics in tests,Medical Misinfo,False test dangers
Patan Morgue Overflows,Fake visual claim,Photos show bodies piled in Patan morgue,Old photos from India misrepresented,Fake News,Doctored visuals
Vaccines Change Blood Type,Pseudoscientific claim,Vaccines alter blood from O to A type,No biological mechanism exists,Medical Hoax,False biology
COVID Vaccine Contains HIV,Conspiracy theory,Vaccines include HIV to weaken immunity,No HIV components in vaccines,Conspiracy,False ingredients
Lockdowns Cause More Deaths,Misrepresented data,Lockdown deaths exceed COVID deaths in Nepal,No statistical evidence,Downplaying Pandemic,False comparisons
COVID Spreads via Water,False transmission claim,Virus spreads through tap water,Respiratory transmission only,Transmission Misinfo,False vectors
Vaccines Kill in 2 Years,Long-term hoax,Vaccine recipients die within 24 months,No evidence; global data disproves,Medical Hoax,False timelines
WHO Owns Virus Patents,Financial conspiracy,WHO profits from COVID vaccine patents,WHO doesn't hold patents,Conspiracy,Anti-WHO narratives
Patan Hospital ICU Scam,Institutional distrust,Hospital charges for fake ICU admissions,No evidence of fraud,Fake News,False corruption
Vaccines Contain Luciferase,Religious conspiracy,Vaccines have 'mark of the beast' enzyme,No such ingredient,Religious Misinfo,End-times fears
COVID is Bacterial Not Viral,False medical claim,"Treatable with antibiotics, not antivirals",Caused by SARS-CoV-2 virus,Medical Misinfo,False disease nature
Vaccines Cause Paralysis,Anti-vaxx misinformation,COVID vaccines lead to sudden paralysis,No causal link found,Medical Hoax,False side effects
WHO Admits PCR Tests Flawed,Misrepresented statement,WHO said PCR tests are unreliable,No such admission; tests are accurate,Testing Misinfo,False protocols
COVID Survives Only Days,False longevity claim,Virus dies on surfaces in 24 hours,Can survive days depending on surface,Transmission Misinfo,False environment
Patan Hospital Beds Empty,Fake visual claim,Photos show empty beds during crisis,Old photos misrepresented,Fake News,Doctored visuals
Vaccines Contain Graphene,Conspiracy theory,Graphene oxide in vaccines causes clots,No graphene in vaccines,Conspiracy,False ingredients
COVID doesn't Spread Asymptomatically,False transmission claim,Only symptomatic people spread virus,Asymptomatic spread confirmed,Transmission Misinfo,False spread
WHO Nepal Head Corrupt,Institutional conspiracy,WHO Nepal director took vaccine bribes,No evidence,Conspiracy,Anti-WHO narratives
Vaccines Cause Cancer,Long-term hoax,mRNA vaccines trigger cancer cells,No biological mechanism,Medical Hoax,False side effects
COVID is Fake Pandemic,Conspiracy theory,No virus exists; it's just the flu,Global scientific consensus confirms virus,Conspiracy,Pandemic denial
Vaccines Contain Aborted Fetuses,Religious misinformation,Fetal cells used in vaccine production,No fetal tissue; uses lab-grown cell lines,Religious Misinfo,False ethical claims
Patan Hospital Denies Oxygen,Fake institutional claim,Hospital refuses oxygen to poor patients,No verified cases; oxygen was prioritized,Fake News,False discrimination
COVID Virus Doesn't Exist,Extreme conspiracy,Virus never isolated; all tests fake,SARS-CoV-2 isolated and sequenced globally,Conspiracy,Science denial
Vaccines Magnetize Phones,Tech hoax,Vaccinated people can't use touchscreens,No effect on electronics,Medical Hoax,False tech claims
WHO Nepal Funds Terrorists,Geopolitical conspiracy,WHO diverts funds to militant groups,No evidence,Conspiracy,Anti-UN narratives
Vaccines Cause 5G Reception,Tech/medical hoax,Vaccinated bodies pick up 5G signals,Biologically impossible,Medical Hoax,False tech claims
COVID Spreads via 5G Waves,Tech conspiracy,5G radio waves transmit the virus,Virus spreads via respiratory droplets,Conspiracy,False tech links
Patan Hospital Sells Organs,Fake organ trafficking claim,Hospital steals organs from COVID victims,No evidence,Fake News,False crime allegations
Vaccines Contain Nano-Robots,Sci-fi conspiracy,Bill Gates implants tracking nano-robots,No nanotechnology in vaccines,Conspiracy,False ingredients
COVID Cure Hidden by WHO,Global conspiracy,WHO suppresses cheap cures for profit,No hidden cures exist,Conspiracy,Anti-WHO narratives
Vaccines Alter Human DNA,Genetic misinformation,Vaccines rewrite DNA to control humans,mRNA cannot alter human genome,Medical Hoax,False science
Patan Hospital Hides Vaccines,Fake supply claim,Hospital hoards vaccines for elites,Vaccines distributed transparently,Fake News,False supply claims
COVID Virus is Seasonal,False climate claim,Virus disappears in summer like flu,Spreads year-round,Climate Misinfo,False weather dependence
Vaccines Contain Mercury,Toxicity hoax,Thiomersal in vaccines causes poisoning,No thiomersal in COVID-19 vaccines,Medical Hoax,False toxicity
WHO Nepal Steals Data,Surveillance conspiracy,WHO collects DNA via PCR tests,Tests don't harvest genetic data,Conspiracy,False surveillance
Vaccines Cause Infertility in Men,Gender-targeted hoax,COVID vaccines reduce sperm count,No impact on male fertility,Medical Hoax,Gender misinformation
COVID Spreads via Food,False transmission claim,Eating contaminated food causes infection,Respiratory transmission only,Transmission Misinfo,False vectors
Patan Hospital Fakes COVID Tests,Institutional distrust,Hospital reports false positives for money,No evidence of fraud,Fake News,False corruption
Vaccines Contain Animal DNA,Religious/ethical hoax,Made using monkey/pig genetic material,No animal DNA in vaccines,Religious Misinfo,False ingredients
WHO Nepal Infects People,Biological conspiracy,WHO staff spread virus intentionally,No evidence,Conspiracy,Anti-WHO narratives
Vaccines Cause Bell's Palsy,Medical misinformation,Facial paralysis is common post-vaccine,Extremely rare; no causal link,Medical Hoax,False side effects
COVID Virus Was Lab-Made,Origin conspiracy,Wuhan lab engineered SARS-CoV-2,Natural zoonotic origin confirmed,Conspiracy,False origins
Patan Hospital Denies Care,Fake discrimination claim,Hospital refuses Dalit COVID patients,No verified cases,Fake News,False discrimination
Vaccines Contain Microchips,Surveillance conspiracy,Bill Gates implants trackers via vaccines,No electronics in vaccines,Conspiracy,False ingredients
WHO Nepal Bribes Media,Institutional conspiracy,WHO pays Nepali media to exaggerate pandemic,No evidence,Conspiracy,Anti-media narratives
Vaccines Cause HIV,Medical hoax,COVID vaccines induce AIDS,Biologically impossible,Medical Hoax,False side effects
COVID Deaths Are Fake,Pandemic denial,All COVID deaths are other causes,Excess mortality data proves impact,Conspiracy,Statistics misuse
Patan Hospital Sells Vaccines,Fake corruption claim,Hospital sells vaccines on black market,Vaccines distributed via official channels,Fake News,False corruption
Vaccines Contain Aluminum,Toxicity hoax,Aluminum adjuvants cause brain damage,No harmful aluminum levels in vaccines,Medical Hoax,False toxicity
WHO Nepal Experiments on Poor,Ethical conspiracy,WHO tests unapproved drugs on Nepali poor,No evidence,Conspiracy,Anti-humanitarian claims
Vaccines Cause Blood Clots,Misrepresented risk,COVID vaccines cause fatal clots,"Extremely rare (1 in 250,000)",Medical Hoax,Exaggerated risks
COVID Virus Escaped from US Lab,Geopolitical conspiracy,Fort Detrick lab leaked SARS-CoV-2,No evidence; natural origin confirmed,Conspiracy,False origins
Patan Hospital Uses Fake Meds,Fake corruption claim,Hospital administers saline as COVID treatment,No evidence,Fake News,False corruption
